title,author,pub_year,avg_rating,num_ratings,url
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,,4.34,9439521,https://www.goodreads.com/book/show/2767052-the-hunger-games
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,,4.5,3647259,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Pride and Prejudice,Jane Austen,,4.29,4558333,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee,,4.26,6604289,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
The Book Thief,Markus Zusak,,4.39,2768701,https://www.goodreads.com/book/show/19063.The_Book_Thief
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,,3.67,7051007,https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,George Orwell,,4.0,4277585,https://www.goodreads.com/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,,4.61,140387,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,,4.28,690088,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green,,4.13,5518316,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
The Picture of Dorian Gray,Oscar Wilde,,4.13,1745382,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
The Giving Tree,Shel Silverstein,,4.38,1198279,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Wuthering Heights,Emily Brontë,,3.9,1935647,https://www.goodreads.com/book/show/6185.Wuthering_Heights
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,4.31,3292581,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Gone with the Wind,Margaret Mitchell,,4.31,1252275,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Perks of Being a Wallflower,Stephen Chbosky,,4.23,1924442,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
The Little Prince,Antoine de Saint-Exupéry,,4.33,2331534,https://www.goodreads.com/book/show/157993.The_Little_Prince
Jane Eyre,Charlotte Brontë,,4.15,2233752,https://www.goodreads.com/book/show/10210.Jane_Eyre
The Great Gatsby,F. Scott Fitzgerald,,3.93,5652173,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
Crime and Punishment,Fyodor Dostoevsky,,4.28,1004438,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,,3.93,2457077,https://www.goodreads.com/book/show/968.The_da_Vinci_Code
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,,4.06,592349,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
"Divergent (Divergent, #1)",Veronica Roth,,4.14,4244352,https://www.goodreads.com/book/show/13335037-divergent
Memoirs of a Geisha,Arthur Golden,,4.16,2070054,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
Les Misérables,Victor Hugo,,4.21,826948,https://www.goodreads.com/book/show/24280.Les_Mis_rables
The Alchemist,Paulo Coelho,,3.92,3373928,https://www.goodreads.com/book/show/865.The_Alchemist
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,,4.32,1064789,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Lord of the Flies,William Golding,,3.7,3085581,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Romeo and Juliet,William Shakespeare,,3.74,2741315,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,4.22,1950824,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,,4.07,2110918,https://www.goodreads.com/book/show/256683.City_of_Bones
The Help,Kathryn Stockett,,4.46,2936180,https://www.goodreads.com/book/show/4667024-the-help
Dracula,Bram Stoker,,4.02,1395169,https://www.goodreads.com/book/show/17245.Dracula
Charlotte’s Web,E.B. White,,4.21,1971671,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Fahrenheit 451,Ray Bradbury,,3.97,2666873,https://www.goodreads.com/book/show/13079982-fahrenheit-451
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,,4.31,1439039,https://www.goodreads.com/book/show/375802.Ender_s_Game
Brave New World,Aldous Huxley,,3.99,1988323,https://www.goodreads.com/book/show/5129.Brave_New_World
Of Mice and Men,John Steinbeck,,3.89,2719678,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
The Catcher in the Rye,J.D. Salinger,,3.8,3760736,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
One Hundred Years of Solitude,Gabriel García Márquez,,4.12,1054779,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
1984,George Orwell,,4.2,5128266,https://www.goodreads.com/book/show/40961427-1984
A Thousand Splendid Suns,Khaled Hosseini,,4.45,1657333,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
"Little Women (Little Women, #1)",Louisa May Alcott,,4.16,2364403,https://www.goodreads.com/book/show/1934.Little_Women
The Outsiders,S.E. Hinton,,4.14,1507335,https://www.goodreads.com/book/show/231804.The_Outsiders
The Secret Garden,Frances Hodgson Burnett,,4.16,1247771,https://www.goodreads.com/book/show/2998.The_Secret_Garden
The Princess Bride,William Goldman,,4.27,929543,https://www.goodreads.com/book/show/21787.The_Princess_Bride
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,,4.45,2648000,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Time Traveler's Wife,Audrey Niffenegger,,4.0,1836183,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,,4.47,10924790,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,4.62,3968798,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Odyssey,Homer,,3.82,1144112,https://www.goodreads.com/book/show/1381.The_Odyssey
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,,3.98,1252909,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,,3.89,1744652,https://www.goodreads.com/book/show/35031085-frankenstein
The Kite Runner,Khaled Hosseini,,4.35,3361339,https://www.goodreads.com/book/show/77203.The_Kite_Runner
"The Giver (The Giver, #1)",Lois Lowry,,4.12,2698973,https://www.goodreads.com/book/show/3636.The_Giver
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,,4.15,2269114,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,,4.58,4610228,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Where the Wild Things Are,Maurice Sendak,,4.25,1037912,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
Green Eggs and Ham,Dr. Seuss,,4.31,822321,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
The Lovely Bones,Alice Sebold,,3.86,2428941,https://www.goodreads.com/book/show/12232938-the-lovely-bones
The Adventures of Huckleberry Finn,Mark Twain,,3.83,1309927,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
"Dune (Dune, #1)",Frank Herbert,,4.28,1544714,https://www.goodreads.com/book/show/44767458-dune
Life of Pi,Yann Martel,,3.94,1710430,https://www.goodreads.com/book/show/4214.Life_of_Pi
Lolita,Vladimir Nabokov,,3.87,906987,https://www.goodreads.com/book/show/7604.Lolita
A Tale of Two Cities,Charles Dickens,,3.87,990092,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Slaughterhouse-Five,Kurt Vonnegut Jr.,,4.1,1437071,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Water for Elephants,Sara Gruen,,4.11,1672012,https://www.goodreads.com/book/show/43641.Water_for_Elephants
The Bell Jar,Sylvia Plath,,4.06,1120349,https://www.goodreads.com/book/show/6514.The_Bell_Jar
Matilda,Roald Dahl,,4.33,1052069,https://www.goodreads.com/book/show/39988.Matilda
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,,4.17,3350057,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
The Stand,Stephen        King,,4.35,806052,https://www.goodreads.com/book/show/149267.The_Stand
Catch-22,Joseph Heller,,3.99,866613,https://www.goodreads.com/book/show/168668.Catch_22
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,,4.3,317951,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,,4.35,802054,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
"Watership Down (Watership Down, #1)",Richard  Adams,,4.09,496256,https://www.goodreads.com/book/show/76620.Watership_Down
Rebecca,Daphne du Maurier,,4.25,685676,https://www.goodreads.com/book/show/17899948-rebecca
Great Expectations,Charles Dickens,,3.8,850394,https://www.goodreads.com/book/show/2623.Great_Expectations
The Color Purple,Alice Walker,,4.27,729791,https://www.goodreads.com/book/show/52892857-the-color-purple
"Outlander (Outlander, #1)",Diana Gabaldon,,4.26,1122847,https://www.goodreads.com/book/show/10964.Outlander
Anna Karenina,Leo Tolstoy,,4.1,895758,https://www.goodreads.com/book/show/15823480-anna-karenina
One Flew Over the Cuckoo’s Nest,Ken Kesey,,4.2,762046,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,,4.4,3010165,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
My Sister’s Keeper,Jodi Picoult,,4.11,1258170,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
The Brothers Karamazov,Fyodor Dostoevsky,,4.38,362912,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
A Tree Grows in Brooklyn,Betty  Smith,,4.3,492718,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange,Anthony Burgess,,4.0,747845,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
To Kill a Mockingbird,Harper Lee,,4.26,6604289,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird
The Road,Cormac McCarthy,,4.0,985355,https://www.goodreads.com/book/show/6288.The_Road
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,,4.03,1585095,https://www.goodreads.com/book/show/119322.The_Golden_Compass
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,,4.1,670127,https://www.goodreads.com/book/show/345627.Vampire_Academy
Siddhartha,Hermann Hesse,,4.08,835479,https://www.goodreads.com/book/show/52036.Siddhartha
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,,4.15,647753,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
Don Quixote,Miguel de Cervantes Saavedra,,3.9,293592,https://www.goodreads.com/book/show/3836.Don_Quixote
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,,4.57,4018408,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire
The Old Man and the Sea,Ernest Hemingway,,3.81,1247364,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
The Poisonwood Bible,Barbara Kingsolver,,4.11,773445,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
And Then There Were None,Agatha Christie,,4.28,1515677,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
The Complete Stories and Poems,Edgar Allan Poe,,4.4,289387,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,,4.02,627991,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Atlas Shrugged,Ayn Rand,,3.69,401009,https://www.goodreads.com/book/show/662.Atlas_Shrugged
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,,4.38,387277,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
"The Notebook (The Notebook, #1)",Nicholas Sparks,,4.16,1794051,https://www.goodreads.com/book/show/33648131-the-notebook
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,4.58,3523552,https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince
Fahrenheit 451,Ray Bradbury,,3.97,2666873,https://www.goodreads.com/book/show/4381.Fahrenheit_451
"The Shining (The Shining, #1)",Stephen        King,,4.28,1630163,https://www.goodreads.com/book/show/11588.The_Shining
"Moby-Dick or, The Whale",Herman Melville,,3.56,596779,https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale
A Prayer for Owen Meany,John Irving,,4.24,330444,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
The Stranger,Albert Camus,,4.03,1280437,https://www.goodreads.com/book/show/49552.The_Stranger
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,,4.31,861425,https://www.goodreads.com/book/show/7171637-clockwork-angel
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,,4.43,4292461,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
It,Stephen        King,,4.24,1212293,https://www.goodreads.com/book/show/830502.It
The Secret Life of Bees,Sue Monk Kidd,,4.1,1330527,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
"The Hobbit, or There and Back Again",J.R.R. Tolkien,,4.29,4300722,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Red Tent,Anita Diamant,,4.2,619980,https://www.goodreads.com/book/show/4989.The_Red_Tent
The Metamorphosis,Franz Kafka,,3.89,1303152,https://www.goodreads.com/book/show/485894.The_Metamorphosis
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,,4.52,1038774,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
A Story of Yesterday,Sergio Cobo,,4.53,15542,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday
The Master and Margarita,Mikhail Bulgakov,,4.29,393650,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
The Count of Monte Cristo,Alexandre Dumas,,4.31,978915,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
Eragon (The Inheritance Cycle #1),Christopher Paolini,,3.96,1884952,https://www.goodreads.com/book/show/113436.Eragon
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,,4.55,1100406,https://www.goodreads.com/book/show/4556058-the-last-olympian
The Very Hungry Caterpillar,Eric Carle,,4.34,534126,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
Looking for Alaska,John Green,,3.96,1700876,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
Middlesex,Jeffrey Eugenides,,4.04,653952,https://www.goodreads.com/book/show/2187.Middlesex
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,,4.17,899384,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,,4.24,3016128,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Adventures of Tom Sawyer,Mark Twain,,3.92,986778,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,,4.3,687381,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
The Curious Incident of the Dog in the Night-Time,Mark Haddon,,3.89,1554440,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,,4.19,1132752,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie
The Unbearable Lightness of Being,Milan Kundera,,4.11,516534,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being
"Holes (Holes, #1)",Louis Sachar,,4.01,1314376,https://www.goodreads.com/book/show/38709.Holes
The Name of the Rose,Umberto Eco,,4.14,383740,https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,,4.47,1080745,https://www.goodreads.com/book/show/23437156-six-of-crows
On the Road,Jack Kerouac,,3.61,433977,https://www.goodreads.com/book/show/70401.On_the_Road
Where the Red Fern Grows,Wilson Rawls,,4.12,429604,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
The Girl Who Played With Fire (Millennium #2),Stieg Larsson,,4.26,960236,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
"The Godfather (The Godfather, #1)",Mario Puzo,,4.4,448102,https://www.goodreads.com/book/show/22034.The_Godfather
In Cold Blood,Truman Capote,,4.09,703134,https://www.goodreads.com/book/show/168642.In_Cold_Blood
Perfume: The Story of a Murderer,Patrick Süskind,,4.04,521151,https://www.goodreads.com/book/show/343.Perfume
The Scarlet Letter,Nathaniel Hawthorne,,3.44,896701,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
Fight Club,Chuck Palahniuk,,4.18,624291,https://www.goodreads.com/book/show/36236124-fight-club
American Gods,Neil Gaiman,,4.1,973150,https://www.goodreads.com/book/show/30165203-american-gods
The Five People You Meet in Heaven,Mitch Albom,,4.0,771668,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven
Watchmen,Alan             Moore,,4.39,581690,https://www.goodreads.com/book/show/472331.Watchmen
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,,4.08,164987,https://www.goodreads.com/book/show/6656.The_Divine_Comedy
All Quiet on the Western Front,Erich Maria Remarque,,4.1,497163,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,,4.19,570363,https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,,4.25,802467,https://www.goodreads.com/book/show/12067.Good_Omens
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,,4.34,3927702,https://www.goodreads.com/book/show/6148028-catching-fire
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,,4.36,155886,https://www.goodreads.com/book/show/114345.The_Little_House_Collection
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,,4.56,215866,https://www.goodreads.com/book/show/256008.Lonesome_Dove
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,,3.92,731833,https://www.goodreads.com/book/show/6339664-hush-hush
Gone Girl,Gillian Flynn,,4.14,3319504,https://www.goodreads.com/book/show/19288043-gone-girl
The Song of Achilles,Madeline Miller,,4.31,1803070,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
Peter Pan,J.M. Barrie,,4.03,363803,https://www.goodreads.com/book/show/34268.Peter_Pan
The Elephant Tree,R.D. Ronald,,3.79,32080,https://www.goodreads.com/book/show/9293020-the-elephant-tree
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,,4.37,1162487,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,4.42,1173684,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth
The Secret History,Donna Tartt,,4.16,920127,https://www.goodreads.com/book/show/29044.The_Secret_History
Love in the Time of Cholera,Gabriel García Márquez,,3.94,530812,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera
"Insurgent (Divergent, #2)",Veronica Roth,,3.97,1582636,https://www.goodreads.com/book/show/11735983-insurgent
The Addiction Manifesto,Jerry Weaver,,4.76,1241,https://www.goodreads.com/book/show/58572970-the-addiction-manifesto
A Walk to Remember,Nicholas Sparks,,4.2,834304,https://www.goodreads.com/book/show/35545737-a-walk-to-remember
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,,4.24,1298674,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,,4.55,466613,https://www.goodreads.com/book/show/18335634-clockwork-princess
The Zombie Room,R.D. Ronald,,3.83,32712,https://www.goodreads.com/book/show/29908754-the-zombie-room
The Thorn Birds,Colleen McCullough,,4.25,359315,https://www.goodreads.com/book/show/3412.The_Thorn_Birds
How the Grinch Stole Christmas!,Dr. Seuss,,4.38,435934,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,,4.18,2089474,https://www.goodreads.com/book/show/7896527-throne-of-glass
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,,4.38,333126,https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,,4.33,376547,https://www.goodreads.com/book/show/2802316-shadow-kiss
"The Maze Runner (The Maze Runner, #1)",James Dashner,,4.05,1622209,https://www.goodreads.com/book/show/6186357-the-maze-runner
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,,4.43,9707,https://www.goodreads.com/book/show/1423.The_Compleat_Works_of_Wllm_Shkspr
Their Eyes Were Watching God,Zora Neale Hurston,,3.99,372680,https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,,4.64,2831795,https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
The Importance of Being Earnest,Oscar Wilde,,4.17,394272,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,,4.0,493814,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
Atonement,Ian McEwan,,3.95,546224,https://www.goodreads.com/book/show/6867.Atonement
The Three Musketeers,Alexandre Dumas,,4.1,338130,https://www.goodreads.com/book/show/7190.The_Three_Musketeers
"Eat, Pray, Love",Elizabeth Gilbert,,3.64,1809680,https://www.goodreads.com/book/show/19501.Eat_Pray_Love
The Lorax,Dr. Seuss,,4.35,360781,https://www.goodreads.com/book/show/7784.The_Lorax
Goodnight Moon,Margaret Wise Brown,,4.32,387430,https://www.goodreads.com/book/show/32929.Goodnight_Moon
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,,4.49,230092,https://www.goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset
A Midsummer Night’s Dream,William Shakespeare,,3.94,563478,https://www.goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream
Bridge to Terabithia,Katherine Paterson,,4.06,574926,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,,4.2,689940,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
"Frostbite (Vampire Academy, #2)",Richelle Mead,,4.25,367055,https://www.goodreads.com/book/show/2282133.Frostbite
The Diary of a Young Girl,Anne Frank,,4.2,4022210,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,4.4,3715088,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
Tess of the D’Urbervilles,Thomas Hardy,,3.84,295762,https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles
Heart of Darkness,Joseph Conrad,,3.43,540423,https://www.goodreads.com/book/show/4900.Heart_of_Darkness
"The Selection (The Selection, #1)",Kiera Cass,,4.07,1693097,https://www.goodreads.com/book/show/10507293-the-selection
The Night Circus,Erin Morgenstern,,4.01,1055251,https://www.goodreads.com/book/show/9361589-the-night-circus
The Prophet,Kahlil Gibran,,4.23,317824,https://www.goodreads.com/book/show/2547.The_Prophet
The Call of the Wild,Jack London,,3.91,456382,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild
"Blood Promise (Vampire Academy, #4)",Richelle Mead,,4.3,322887,https://www.goodreads.com/book/show/5996153-blood-promise
The Joy Luck Club,Amy Tan,,3.97,699268,https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club
"The Good Earth (House of Earth, #1)",Pearl S. Buck,,4.01,256447,https://www.goodreads.com/book/show/1078.The_Good_Earth
Alice in Wonderland,Jane Carruth,,4.03,395054,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
